Product Name,Product Name,Rating,MRP,Pack Size,Quantity,,Quantity,Unit,Type,Discount,Category,Key Ingredients,Tokens,Key Ingredients,,,,,
Tea Tree Facewash for acne and pimples Pack ,Tea Tree Facewash For Acne And Pimples Pack ,Not Rated,998,NA,NA,,NA,NA,NA,0%,Hair Oil,Onion Oil  Onion Seed Oil ,onion hair oil onion hair mask combo,Onion Oil Onion Seed Oil,,,,,
Tea Tree Foaming Face Wash with Tea Tree & Salicylic Acid for Acne & Pimples ,Tea Tree Foaming Face Wash With Tea Tree & Salicylic Acid For Acne & Pimples ,Not Rated,679,NA,NA,,NA,NA,NA,3%,Hair Oil,Onion Seed Extract  Onion Seed Oil ,onion hair serum onion hair oil combo,Onion Seed Extract Onion Seed Oil,,,,,
Tea Tree Hair Oil with Tea Tree & Ginger Oil for Dandruff Free Hair ,Tea Tree Hair Oil With Tea Tree & Ginger Oil For Dandruff Free Hair ,4.8,884,NA,NA,,NA,NA,NA,3%,Unknown ,Onion Seed Oil  Onion Seed Oil ,onion shampoo 400ml onion conditioner 250ml combo,Onion Seed Oil Onion Seed Oil,,,,,
Tea Tree Shampoo and Onion Hair Oil Combo,Tea Tree Shampoo And Onion Hair Oil Combo,Not Rated,874,NA,NA,,NA,NA,NA,3%,Unknown ,Onion Seed Extract  Onion Oil ,onion hair serum onion hair mask combo,Onion Seed Extract Onion Oil,,,,,
Tea Tree Shampoo for Dandruff Free Hair ,Tea Tree Shampoo For Dandruff Free Hair ,Not Rated,824,NA,NA,,NA,NA,NA,3%,Hair Shampoo,Turmeric  Walnut Beads  Licorice Extract  Carrot Oil  Vitamin C ,ubtan face wash skin illuminate face serum combo,Turmeric Walnut Beads Licorice Extract Carrot Oil Vitamin C,,,,,
Tea Tree Shampoo for Dandruff Free Hair ,Tea Tree Shampoo For Dandruff Free Hair ,Not Rated,969,NA,NA,,NA,NA,NA,3%,Face Cream,Vitamin C  Cucumber Extract  Daisy Flower Extract  Peptides  Hawkweed Extract ,skin illuminate face serum bye bye dark circles combo,Vitamin C Cucumber Extract Daisy Flower Extract Peptides Hawkweed Extract,,,,,
Tea Tree Shampoo for Dandruff Free Hair ,Tea Tree Shampoo For Dandruff Free Hair ,Not Rated,824,NA,NA,,NA,NA,NA,3%,Unknown ,Vitamin C  Daisy Flower Extract  Licorice Extract  Mulberry Extract  Cucumber Extract  Daisy Flower Extract  Peptides  Hawkweed Extract ,bye bye blemishes 30 g bye bye dark circles combo,Vitamin C Daisy Flower Extract Licorice Extract Mulberry Extract Cucumber Extract Daisy Flower Extract Peptides Hawkweed Extract,,,,,
Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening ,Ubtan Bamboo Sheet Mask With Turmeric & Saffron For Skin Brightening ,4.8,724,NA,NA,,NA,NA,NA,3%,Face Mask,Tea Tree Oil  Ginger Oil  Onion Seed Oil ,tea tree shampoo onion hair oil combo,Tea Tree Oil Ginger Oil Onion Seed Oil,,,,,
Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening ,Ubtan Bamboo Sheet Mask With Turmeric & Saffron For Skin Brightening ,Not Rated,999,NA,NA,,NA,NA,NA,5%,Face Cream,Vitamin C  MULBERRY EXTRACT  DAISY FLOWER  GERANIUM OIL  VETIVER OIL ,skin illuminate face serum bye bye blemishes 30 g combo,Vitamin C Mulberry Extract Daisy Flower Geranium Oil Vetiver Oil,,,,,
Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening ,Ubtan Bamboo Sheet Mask With Turmeric & Saffron For Skin Brightening ,Not Rated,679,NA,NA,,NA,NA,NA,2%,Face Wash,Neem  Aloe Vera  Tea Tree Oil  MULBERRY EXTRACT  DAISY FLOWER  GERANIUM OIL  VETIVER OIL ,tea tree face wash bye bye blemishes 30ml combo,Neem Aloe Vera Tea Tree Oil Mulberry Extract Daisy Flower Geranium Oil Vetiver Oil,,,,,
Ubtan Body Butter For Dry Skin With Turmeric & Honey For Deep Nourishment ,Ubtan Body Butter For Dry Skin With Turmeric & Honey For Deep Nourishment ,Not Rated,599, 250ml, 250,l,250,ml,Volumn,0%,Hair Oil,Onion Seed Oil ,onion hair oil hair regrowth hair fall control,Onion Seed Oil,,,,,
Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin ,Ubtan Body Lotion With Turmeric & Kokum Butter For Glowing Skin ,Not Rated,349,100g,100,,100,gram,Weight,0%,Unknown ,Activated Charcoal  Walnut ,charcoal face scrub oily skin normal skin charcoal walnut deep exfoliation,Activated Charcoal Walnut,,,,,
Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin ,Ubtan Body Lotion With Turmeric & Kokum Butter For Glowing Skin ,Not Rated,349, 100g, 100,,100,gram,Weight,0%,Unknown ,Turmeric ,ubtan face scrub turmeric walnut tan removal,Turmeric,,,,,
Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin ,Ubtan Body Lotion With Turmeric & Kokum Butter For Glowing Skin ,Not Rated,399,200 ml,200 ,l,200,ml,Volumn,0%,Unknown ,Vitamin C ,vitamin c face toner vitamin c cucumber pore tightening,Vitamin C,,,,,
Ubtan Body Scrub with Turmeric & Saffron for Tan Removal ,Ubtan Body Scrub With Turmeric & Saffron For Tan Removal ,Not Rated,399, 300ml, 300,l,300,ml,Volumn,0%,Body Kit,Aloe Vera ,aloe vera gel pure aloe vera vitamin e skin hair,Aloe Vera,,,,,
Ubtan Body Wash With Turmeric & Saffron for Glowing Skin ,Ubtan Body Wash With Turmeric & Saffron For Glowing Skin ,Not Rated,299,100 ml,100 ,l,100,ml,Volumn,0%,Unknown ,Onion Seed Extract ,onion hair serum onion biotin strong frizz free hair,Onion Seed Extract,,,,,
Ubtan Body Wash With Turmeric & Saffron for Glowing Skin Pac,Ubtan Body Wash With Turmeric & Saffron For Glowing Skin Pac,Not Rated,599, 30 ml, 30 ,l,30,ml,Volumn,0%,Face Cream,Niacinamide ,skin correct face serum niacinamide ginger extract acne marks scars,Niacinamide,,,,,
Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal ,Ubtan Face Mask With Saffron & Turmeric For Skin Brightening And Tan Removal ,Not Rated,489,NA,NA,,NA,NA,NA,2%,Face Wash,Neem  Aloe Vera  Tea Tree Oil  Charcoal  Clay  Cee ,tea tree face wash charcoal face wash combo,Neem Aloe Vera Tea Tree Oil Charcoal Clay Cee,,,,,
Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal ,Ubtan Face Mask With Saffron & Turmeric For Skin Brightening And Tan Removal ,Not Rated,489,NA,NA,,NA,NA,NA,2%,Face Wash,Neem ,day night face wash combo,Neem,,,,,
Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal ,Ubtan Face Mask With Saffron & Turmeric For Skin Brightening And Tan Removal ,Not Rated,489,NA,NA,,NA,NA,NA,2%,Face Wash,Turmeric  Walnut Beads  Licorice Extract  Carrot Oil ,ubtan facewash tan removal pack,Turmeric Walnut Beads Licorice Extract Carrot Oil,,,,,
Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal ,Ubtan Face Mask With Saffron & Turmeric For Skin Brightening And Tan Removal ,Not Rated,489,NA,NA,,NA,NA,NA,2%,Face Wash,Neem  Aloe Vera  Tea Tree Oil ,tea tree facewash acne pimple pack,Neem Aloe Vera Tea Tree Oil,,,,,
Ubtan Face Scrub with Turmeric & Walnut for Tan Removal ,Ubtan Face Scrub With Turmeric & Walnut For Tan Removal ,Not Rated,489,NA,NA,,NA,NA,NA,2%,Face Wash,Charcoal  Clay  Cee ,charcoal facewash oil control pack 2 d ds,Charcoal Clay Cee,,,,,
Ubtan Face Scrub with Turmeric & Walnut for Tan Removal ,Ubtan Face Scrub With Turmeric & Walnut For Tan Removal ,Not Rated,599, 30 gm, 30 ,m,30,gram,Weight,0%,Face Cream,Vitamin C ,skin illuminate face serum radiant skin vitamin c turmeric,Vitamin C,,,,,
Ubtan Face Scrub with Turmeric & Walnut for Tan Removal ,Ubtan Face Scrub With Turmeric & Walnut For Tan Removal ,Not Rated,399,20ml,20,l,20,ml,Volumn,0%,Unknown ,Cucumber Extract  Daisy Flower Extract  Peptides  Hawkweed Extract ,bye bye dark circles eye cream cucumber peptides dark circles,Cucumber Extract Daisy Flower Extract Peptides Hawkweed Extract,,,,,
Ubtan Face Wash and Skin Illuminate Face Serum Combo,Ubtan Face Wash And Skin Illuminate Face Serum Combo,Not Rated,924, 200ml, 200,l,200,ml,Volumn,3%,Hair Shampoo,Onion Oil ,hair fall control regime combo onion shampoo 250ml onion hair mask,Onion Oil,,,,,
Ubtan Face Wash for Tan Removal,Ubtan Face Wash For Tan Removal,5,559, 400ml, 400,l,400,ml,Volumn,0%,Face Wash,Onion Seed Oil ,onion shampoo hair growth hair fall control onion oil plant keratin,Onion Seed Oil,,,,,
Ubtan Face Wash for Tan Removal,Ubtan Face Wash For Tan Removal,Not Rated,559, 400ml, 400,l,400,ml,Volumn,0%,Unknown ,Onion Seed Oil  Coconut  ,onion conditioner hair growth hair fall control onion coconut,Onion Seed Oil Coconut,,,,,
Ubtan Face Wash for Tan Removal,Ubtan Face Wash For Tan Removal,Not Rated,599, 30ml, 30,l,30,ml,Volumn,0%,Face Cream,Hyaluronic Acid ,skin plump serum face glow hyaluronic acid rosehip oil ageless skin,Hyaluronic Acid,,,,,
Ubtan Facewash for tan removal Pack Of ,Ubtan Facewash For Tan Removal Pack Of ,5,999,NA,NA,,NA,NA,NA,23%,Hair Kit,Tea Tree Oil  Agaan Oil ,tea tree anti dandruff hair regime kit,Tea Tree Oil Agaan Oil,,,,,
Ubtan Foaming Face Wash with Turmeric & Saffron for Tan Removal,Ubtan Foaming Face Wash With Turmeric & Saffron For Tan Removal,4.5,349, 250ml, 250,l,250,ml,Volumn,0%,Hair Shampoo,Tea Tree Oil  Ginger Oil ,tea tree shampoo dandruff free hair,Tea Tree Oil Ginger Oil,,,,,
Ubtan Hand Cream with Turmeric and Honey for Deep Moisturization,Ubtan Hand Cream With Turmeric And Honey For Deep Moisturization,5,599, 200g, 200,,200,gram,Weight,0%,Body Kit,Theobroma Cocoa Seed Butter ,coco body butter dry skin coffee cocoa deep moisturization,Theobroma Cocoa Seed Butter,,,,,
Ubtan Night Face Mask with Turmeric & Niacinamide for Glowing Skin ,Ubtan Night Face Mask With Turmeric & Niacinamide For Glowing Skin ,5,599,200g,200,,200,gram,Weight,0%,Body Kit,Turmeric  Honey ,ubtan body butter dry skin turmeric honey deep nourishment,Turmeric Honey,,,,,
Ubtan Yogurt with Turmeric and Saffron for Deep Moisturization ,Ubtan Yogurt With Turmeric And Saffron For Deep Moisturization ,Not Rated,999,NA,NA,,NA,NA,NA,26%,Body Kit,Unknown ,wedding glow skincare kit,Unknown,,,,,
Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ ,Ultra Light Indian Sunscreen With Carrot Seed Turmeric & Spf 50 Pa+++ ,Not Rated,499,100 ml,100 ,l,100,ml,Volumn,0%,Face Mask,Neem Oil ,neem face mask neem tea tree pimples zit,Neem Oil,,,,,
Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ ,Ultra Light Indian Sunscreen With Carrot Seed Turmeric & Spf 50 Pa+++ ,Not Rated,349, 80ml, 80,l,80,ml,Volumn,0%,Unknown ,Turmeric  ,anti pollution daily face cream dry oily skin turmeric pollustop Â® bright glowing skin,Turmeric,,,,,
Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ ,Ultra Light Indian Sunscreen With Carrot Seed Turmeric & Spf 50 Pa+++ ,Not Rated,349, 250ml, 250,l,250,ml,Volumn,0%,Unknown ,Onion Seed Oil ,onion conditioner hair growth hair fall control onion coconut,Onion Seed Oil,,,,,
Vitamin C Bamboo Sheet Mask with Vitamin C & Honey for Skin Illumination ,Vitamin C Bamboo Sheet Mask With Vitamin C & Honey For Skin Illumination ,5,349,250 ml,250 ,l,250,ml,Volumn,0%,Face Mask,Onion Seed Oil ,onion shampoo hair growth hair fall control onion oil plant keratin,Onion Seed Oil,,,,,
Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin ,Vitamin C Body Lotion With Vitamin C & Honey For Radiant Skin ,4.8,399, 150ml, 150,l,150,ml,Volumn,0%,Hair Oil,Onion Seed Oil ,onion hair oil hair regrowth hair fall control redensyl,Onion Seed Oil,,,,,
Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin ,Vitamin C Body Lotion With Vitamin C & Honey For Radiant Skin ,5,399,200 gm,200 ,m,200,gram,Weight,0%,Unknown ,Magnesium  Detoxifying Sulphates  Lavender Oil ,mamaearth epsom bath salt relaxation pain relief,Magnesium Detoxifying Sulphates Lavender Oil,,,,,
Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin ,Vitamin C Body Lotion With Vitamin C & Honey For Radiant Skin ,5,599, 200ml, 200,l,200,ml,Volumn,0%,Hair Oil,Onion Oil ,onion hair mask hair fall control onion oil organic bamboo vinegar,Onion Oil,,,,,
Vitamin C Body Wash with Vitamin C & Honey for Skin Illumination ,Vitamin C Body Wash With Vitamin C & Honey For Skin Illumination ,5,349, 250ml, 250,l,250,ml,Volumn,0%,Hair Oil,Tea Tree Oil ,tea tree conditioner tea tree ginger oil dandruff free hair,Tea Tree Oil,,,,,
Vitamin C Body Wash with Vitamin C & Honey for Skin Illumination  Pack,Vitamin C Body Wash With Vitamin C & Honey For Skin Illumination  Pack,5,999,NA,NA,,NA,NA,NA,28%,Hair Kit,Unknown ,hair fall control kit,Unknown,,,,,
Vitamin C Clear Skin Combo  ,Vitamin C Clear Skin Combo  ,Not Rated,449,30ml,30,l,30,ml,Volumn,0%,Unknown ,Vitamin C  Daisy Flower Extract  Licorice Extract  Mulberry Extract ,bye bye blemishes face cream reduce pigmentation blemishes mulberry extract vitamin c,Vitamin C Daisy Flower Extract Licorice Extract Mulberry Extract,,,,,
Vitamin C Day Regimen Combo,Vitamin C Day Regimen Combo,5,299, 150ml, 150,l,150,ml,Volumn,0%,Body Kit,Castor Oil ,castor oil healthier skin hair nails 100 pure natural cold press oil,Castor Oil,,,,,
Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination,Vitamin C Face Cream With Vitamin C & Spf 20 For Skin Illumination,5,679, 250ml, 250,l,250,ml,Volumn,3%,Hair Shampoo,Onion Seed Oil ,hair regrowth combo onion shampoo onion conditioner,Onion Seed Oil,,,,,
Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination,Vitamin C Face Cream With Vitamin C & Spf 20 For Skin Illumination,5,1299,NA,NA,,NA,NA,NA,27%,Unknown ,Aloe Vera ,revitalize turmeric kits,Aloe Vera,,,,,
Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination,Vitamin C Face Cream With Vitamin C & Spf 20 For Skin Illumination,5,399,NA,NA,,NA,NA,NA,0%,Body Kit,Unknown ,aloe turmeric gel skin hair 300ml saver pack 20 extra,Unknown,,,,,
Vitamin C Face Mask With Vitamin C & Kaolin Clay for Skin Illumination ,Vitamin C Face Mask With Vitamin C & Kaolin Clay For Skin Illumination ,4.8,249, 150ml, 150,l,150,ml,Volumn,0%,Body Kit,Unknown ,aloe turmeric gel skin hair,Unknown,,,,,
Vitamin C Face Mask With Vitamin C & Kaolin Clay for Skin Illumination ,Vitamin C Face Mask With Vitamin C & Kaolin Clay For Skin Illumination ,Not Rated,774, 80ml, 80,l,80,ml,Volumn,3%,Unknown ,Turmeric ,anti acne combo oil free moisturizer ultra light indian sunscreen,Turmeric,,,,,
Vitamin C Face Mask With Vitamin C & Kaolin Clay for Skin Illumination ,Vitamin C Face Mask With Vitamin C & Kaolin Clay For Skin Illumination ,5,299, 80ml, 80,l,80,ml,Volumn,0%,Unknown ,Apple Cider Vinegar  Cetearyl Octanoate  Betaine  Fatty Acids ,oil free face moisturizer acne prone skin,Apple Cider Vinegar Cetearyl Octanoate Betaine Fatty Acids,,,,,
Vitamin C Face Milk with Vitamin C and Peach for Skin Illumination ,Vitamin C Face Milk With Vitamin C And Peach For Skin Illumination ,5,499, 80ml, 80,l,80,ml,Volumn,0%,Unknown ,Carrot Seed Oil ,ultra light indian sunscreen carrot seed turmeric spf 50 pa+++,Carrot Seed Oil,,,,,
Vitamin C Face Scrub for Glowing Skin With Vitamin C and Walnut For Skin Illumination ,Vitamin C Face Scrub For Glowing Skin With Vitamin C And Walnut For Skin Illumination ,Not Rated,724, 100ml, 100,l,100,ml,Volumn,3%,Face Wash,Saffron  Turmeric  ,sun protection combo sunscreen 80ml ubtan facewash,Saffron Turmeric,,,,,
Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening ,Vitamin C Face Toner With Vitamin C & Cucumber For Pore Tightening ,Not Rated,724, 100ml, 100,l,100,ml,Volumn,3%,Face Wash,Saffron  Turmeric ,skin lightening brightening combo ubtan facemask ubtan facewash,Saffron Turmeric,,,,,
Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening ,Vitamin C Face Toner With Vitamin C & Cucumber For Pore Tightening ,5,799, 100ml, 100,l,100,ml,Volumn,6%,Face Wash,Charcoal  Cee  Kaolin Clay ,charcoal secrets combo c3 face mask charcoal facewash,Charcoal Cee Kaolin Clay,,,,,
Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening ,Vitamin C Face Toner With Vitamin C & Cucumber For Pore Tightening ,Not Rated,499, 100g, 100,,100,gram,Weight,0%,Face Mask,Saffron ,ubtan face mask saffron turmeric skin brightening tan removal,Saffron,,,,,
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination ,Vitamin C Face Wash With Vitamin C And Turmeric For Skin Illumination ,5,679, 200ml, 200,l,200,ml,Volumn,3%,Hair Shampoo,Unknown ,healthy hair combo shampoo conditioner,Unknown,,,,,
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination ,Vitamin C Face Wash With Vitamin C And Turmeric For Skin Illumination ,5,599, 200ml, 200,l,200,ml,Volumn,0%,Unknown ,Tea Tree Oil ,tea tree anti dandruff hair mask,Tea Tree Oil,,,,,
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination ,Vitamin C Face Wash With Vitamin C And Turmeric For Skin Illumination ,4.8,599, 50ml, 50,l,50,ml,Volumn,0%,Unknown ,Pomegranate Oil  ,natural radiance day cream,Pomegranate Oil,,,,,
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination ,Vitamin C Face Wash With Vitamin C And Turmeric For Skin Illumination ,5,249, 100ml, 100,l,100,ml,Volumn,0%,Face Wash,Turmeric  Walnut Beads  Licorice Extract  Carrot Oil ,ubtan face wash tan removal,Turmeric Walnut Beads Licorice Extract Carrot Oil,,,,,
Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination,Vitamin C Foaming Face Wash With Vitamin C & Turmeric For Skin Illumination,4.8,249, 100ml, 100,l,100,ml,Volumn,0%,Face Wash,Neem  Aloe Vera  Tea Tree Oil ,tea tree facewash acne pimple,Neem Aloe Vera Tea Tree Oil,,,,,
Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination,Vitamin C Foaming Face Wash With Vitamin C & Turmeric For Skin Illumination,5,249, 100ml, 100,l,100,ml,Volumn,0%,Face Wash,Charcoal  Clay  Coffee ,charcoal facewash oil control,Charcoal Clay Coffee,,,,,
Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination ,Vitamin C Foaming Face Wash With Vitamin C & Turmeric For Skin Illumination ,4.8,1199,NA,NA,,NA,NA,NA,25%,Hair Kit,Bhringraj Oil  Biotin  ,anti hair fall kit complete hair care,Bhringraj Oil Biotin,,,,,
Vitamin C Glowing Skin Combo,Vitamin C Glowing Skin Combo,4.8,499, 100ml, 100,l,100,ml,Volumn,0%,Unknown ,Korean Red Ginseng ,pro growth hair tonic well hair growth,Korean Red Ginseng,,,,,
Vitamin C Hand Cream with Vitamin C and Shea Butter for Intense Moisturization,Vitamin C Hand Cream With Vitamin C And Shea Butter For Intense Moisturization,Not Rated,399, 100ml, 100,l,100,ml,Volumn,0%,Hair Oil,Bhringraj Oil ,root restore hair oil hair fall reduction,Bhringraj Oil,,,,,
Vitamin C Night Regimen Combo,Vitamin C Night Regimen Combo,4.9,349, 200ml, 200,l,200,ml,Volumn,0%,Hair Shampoo,Biotin  Horse Chestnut  Amla Extract  ,happy heads shampoo healthy strong hair,Biotin Horse Chestnut Amla Extract,,,,,
Vitamin C No Make Up Combo,Vitamin C No Make Up Combo,Not Rated,349, 200ml, 200,l,200,ml,Volumn,0%,Unknown ,Cocoa Butter  Shea Butter  Amla Extract ,tangles conditioner fizz free hair,Cocoa Butter Shea Butter Amla Extract,,,,,
Vitamin C Overnight Skin Glow Kit,Vitamin C Overnight Skin Glow Kit,4.8,500, 100ml, 100,l,100,ml,Volumn,0%,Unknown ,Milk Protein ,stretch marks cream,Milk Protein,,,,,
Vitamin C Radiance Combo,Vitamin C Radiance Combo,5,500, 50ml, 50,l,50,ml,Volumn,0%,Unknown ,Coconut Oil  Shea Butter  Calendula Extract  ,nipple butter cream sore cracked nipple,Coconut Oil Shea Butter Calendula Extract,,,,,
Vitamin C Skincare Regimen Kit,Vitamin C Skincare Regimen Kit,4.8,599, 50ml, 50,l,50,ml,Volumn,0%,Unknown ,Cucumber Extract ,mamaearth eye crÃ¨me cucumber caffeine dark circles,Cucumber Extract,,,,,
Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination ,Vitamin C Sleeping Mask With Aloe Vera For Skin Illumination ,4.8,599, 200ml, 200,l,200,ml,Volumn,0%,Hair Oil,Argan Oil ,argan hair mask argan avocado oil milk protein frizz free strong hair,Argan Oil,,,,,
Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination ,Vitamin C Sleeping Mask With Aloe Vera For Skin Illumination ,5,599, 100ml, 100,l,100,ml,Volumn,0%,Face Mask,Charcoal  Coffee  Kaolin Clay,c3 face mask healthy glow skin,Charcoal Coffee Kaolin Clay,,,,,
Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination ,Vitamin C Sleeping Mask With Aloe Vera For Skin Illumination ,Not Rated,598,Pack Of 2,2,,2,Packet,Count,0%,Body Wash,Turmeric,ubtan body wash turmeric saffron glowing skin pac,Turmeric,,,,,
Wedding Glow Skin Rejuvenation Kit,Wedding Glow Skin Rejuvenation Kit,5,149, 25 g, 25 ,,25,gram,Weight,0%,Unknown ,Vitamin C,vitamin c bamboo sheet mask vitamin c honey skin illumination,Vitamin C,,,,,
Wedding Glow Skincare Kit,Wedding Glow Skincare Kit,5,299, 250ml, 250,l,250,ml,Volumn,0%,Body Lotion,Cucumber ,hydrate natural body lotion cucumber aloe vera normal skin,Cucumber,,,,,
