Product Name,Product Name,Rating,MRP,Pack Size,Quantity,,Quantity,Unit,Type,Discount,Category,Key Ingredients,Tokens,Key Ingredients,,,,,
BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment ,Bhringamla Shampoo With Bhringraj & Amla For Intense Hair Treatment ,Not Rated,559, 400ml, 400,l,400,ml,Volumn,0%,Unknown ,Onion Seed Oil  Coconut  ,onion conditioner hair growth hair fall control onion coconut,Onion Seed Oil Coconut,,,,,
Bye Bye Blemishes 30g and Bye Bye Dark Circles Combo,Bye Bye Blemishes 30G And Bye Bye Dark Circles Combo,4.5,349, 250ml, 250,l,250,ml,Volumn,0%,Hair Shampoo,Tea Tree Oil  Ginger Oil ,tea tree shampoo dandruff free hair,Tea Tree Oil Ginger Oil,,,,,
Bye Bye Blemishes Face Cream for Reducing Pigmentation & Blemishes with Mulberry Extract & Vitamin C ,Bye Bye Blemishes Face Cream For Reducing Pigmentation & Blemishes With Mulberry Extract & Vitamin C ,5,349,250 ml,250 ,l,250,ml,Volumn,0%,Face Cream,Onion Seed Oil ,onion shampoo hair growth hair fall control onion oil plant keratin,Onion Seed Oil,,,,,
Bye Bye Blemishes Face Cream for Reducing Pigmentation & Blemishes with Mulberry Extract & Vitamin C ,Bye Bye Blemishes Face Cream For Reducing Pigmentation & Blemishes With Mulberry Extract & Vitamin C ,5,599, 200ml, 200,l,200,ml,Volumn,0%,Hair Oil,Onion Oil ,onion hair mask hair fall control onion oil organic bamboo vinegar,Onion Oil,,,,,
Bye Bye Blemishes Face Cream for Reducing Pigmentation & Blemishes with Mulberry Extract & Vitamin C ,Bye Bye Blemishes Face Cream For Reducing Pigmentation & Blemishes With Mulberry Extract & Vitamin C ,5,349, 250ml, 250,l,250,ml,Volumn,0%,Hair Oil,Tea Tree Oil ,tea tree conditioner tea tree ginger oil dandruff free hair,Tea Tree Oil,,,,,
Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles ,Bye Bye Dark Circles Eye Cream With Cucumber & Peptides For Dark Circles ,Not Rated,449,30ml,30,l,30,ml,Volumn,0%,Unknown ,Vitamin C  Daisy Flower Extract  Licorice Extract  Mulberry Extract ,bye bye blemishes face cream reduce pigmentation blemishes mulberry extract vitamin c,Vitamin C Daisy Flower Extract Licorice Extract Mulberry Extract,,,,,
Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles ,Bye Bye Dark Circles Eye Cream With Cucumber & Peptides For Dark Circles ,5,679, 250ml, 250,l,250,ml,Volumn,3%,Hair Shampoo,Onion Seed Oil ,hair regrowth combo onion shampoo onion conditioner,Onion Seed Oil,,,,,
Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles ,Bye Bye Dark Circles Eye Cream With Cucumber & Peptides For Dark Circles ,5,299, 80ml, 80,l,80,ml,Volumn,0%,Unknown ,Apple Cider Vinegar  Cetearyl Octanoate  Betaine  Fatty Acids ,oil free face moisturizer acne prone skin,Apple Cider Vinegar Cetearyl Octanoate Betaine Fatty Acids,,,,,
C3 Face Mask for healthy & glowing skin,C3 Face Mask For Healthy & Glowing Skin,5,499, 80ml, 80,l,80,ml,Volumn,0%,Unknown ,Carrot Seed Oil ,ultra light indian sunscreen carrot seed turmeric spf 50 pa+++,Carrot Seed Oil,,,,,
Castor Oil for Healthier Skin Hair and Nails with 100% Pure and Natural ColdPressed Oil,Castor Oil For Healthier Skin Hair And Nails With 100% Pure And Natural Coldpressed Oil,Not Rated,724, 100ml, 100,l,100,ml,Volumn,3%,Hair Oil,Saffron  Turmeric  ,skin lightening brightening combo ubtan facemask ubtan facewash,Saffron Turmeric,,,,,
